¿œ¿⁄,øıªÛ√‚¿Âº“,π∞±›¿æ,µø∏È,ø¯µø∏È,ªÛ∫œ∏È,«œ∫œ∏È,¡ﬂæ”µø,ªÔº∫µø,∞≠º≠µø,¥ˆ∞Ëµø,¿Ã√µ,»≠¡¶,øıªÛ¡§ºˆ¿Â
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-05,7,0,0,0,1,2,0,0,0,6,0,0,6
2017-01-06,0,0,0,0,0.5,0,0,0,0,0,0,0,0
2017-01-07,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2017-01-08,4,3,3,3,1.5,4,1,1,1,3,2.5,3,3.5
2017-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-18,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,4,3,4,2,2.5,2,3,3,3,4,3,2.5,4.5
2017-01-30,2,2,2,1,1,1,1,1,1,2,1,1,1.5
2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-05,3,3,3,3,3.5,3,3,3,3,2,5.5,3,2.5
2017-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-09,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
2017-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-16,2,1,1,1,2.5,2,1,1,3,0,3,1.5,1
2017-02-17,2,2,2,1,2,3,1,2,2,2,5.5,1,1.5
2017-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-20,1.5,1,1,3,4.5,5,1,2,3,2,7.5,2.5,2
2017-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-22,21.5,23,23,22,22,23,20,22,24,19,22,22.5,19.5
2017-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-27,0,0,0,0,0,2,0,0,0,0,0.5,0,0
2017-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,11.5,9,14,5,8.5,8,10,10,10,10,7.5,8,11.5
2017-03-02,0.5,0,1,0,1,0,0,1,1,0,0,1,0
2017-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-20,5,4,5,4,4.5,6,5,4,3,5,6.5,4,6
2017-03-21,3,4,4,2,2.5,2,3,4,2,3,3,3,5
2017-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0
